"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Altersdurchschnitt","gesamt","40,2","2419146","60225","","","","Alterssumme - Hauptwohnsitzbevölkerung (gesamt)","Anzahl aller Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","36,7","381621","10392","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Altersdurchschnitt","Deutsche","42,4","1645693","38771","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Altersdurchschnitt","Deutsche","43,8","1722209","39334","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Altersdurchschnitt","Deutsche","44,5","1897666","42645","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Altersdurchschnitt","Deutsche","43,6","2588382","59374","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","36,4","169191","4652","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","38,2","161305","4219","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Altersdurchschnitt","Deutsche","45,4","2875995","63308","","","","Alterssumme - Hauptwohnsitzbevölkerung (deutsch)","Anzahl deutsche Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Altersdurchschnitt","Ausländer_innen","34,5","335671","9729","","","","Alterssumme - Hauptwohnsitzbevölkerung (Ausländer)","Anzahl ausländische Einwohner mit Hauptwohnsitz","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
